"","Irradiance","Precipitation","MaximumTemperature","MinimumTemperature","lailive","tuberfreshwt","runid","totirrigation","doy","ntotappl","baseN","sidedressdoy","sidedressamount","year","maxRootDepthDueToSoil","sowdoy","runid","Earliness","LeafAgeMx","lng","lat","soilprofile_nr_8090","soilprofile_nr_4040","soilprofile_nr_4031","soilprofile_nr_2070","soilprofile_nr_8110","soilprofile_nr_10240","soilprofile_nr_4010","soilprofile_nr_4070","soilprofile_nr_2080","soilprofile_nr_4050","soilprofile_nr_8060","soilprofile_nr_10010","soilprofile_nr_4160","soilprofile_nr_8101","soilprofile_nr_11030","soilprofile_nr_2040","soilprofile_nr_8120","soilprofile_nr_4140","soilprofile_nr_2060","soilprofile_nr_10080","soilprofile_nr_2050","soilprofile_nr_10190","soilprofile_nr_10030","soilprofile_nr_11040","soilprofile_nr_10191","soilprofile_nr_2010","soilprofile_nr_4020","soilprofile_nr_4090","soilprofile_nr_10061","soilprofile_nr_11050","soilprofile_nr_4041","soilprofile_nr_4130","harvestdoy","coordyear"
"min",0.3,0,1.5,-5.3,0,0,1,0,91,0,0,166,0,1990,0.15,90,1,2,666.5,3.90335611511588,50.9353817048271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,2
"max",31,51.6,40.3,23.4,5.01048232883449,107827.207557798,999936,244.6751,304,580,400,196,180,2020,0.74,149,999936,9,1466.6,6.940039,53.2490930470227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,304,1517
