ID,date,tipstar,observed
KP980407T5,1998-09-01,52124.3268328549,54535
KP980407T7,1998-09-01,52026.7954884873,49519
KP980407T8,1998-09-01,51991.85439236,47559
KP980407T9,1998-09-01,52013.9446878783,50252
KP980408T10,1998-09-30,65297.7193876652,52546
KP980408T2,1998-09-30,70531.3180473725,55393
KP980408T3,1998-09-30,70398.4912430685,58956
KP980408T4,1998-09-30,70517.474658492,59114
KP980408T5,1998-09-30,70293.1381861799,56633
KP980408T7,1998-09-30,65503.1866333976,51403
KP980408T8,1998-09-30,65350.6251701089,47797
KP980408T9,1998-09-30,65501.4054254251,62111
KP980411T1,1998-10-05,64963.7085782281,61022
Kp980415T1,1998-09-30,41121.5104634504,32804
Kp980415T10,1998-09-30,70531.6896944336,59634
Kp980415T11,1998-09-30,70553.6144463342,70290
Kp980415T12,1998-09-30,40585.5128806687,38367
Kp980415T13,1998-09-30,72340.6916319958,59744
Kp980415T14,1998-09-30,72405.6963645619,68732
Kp980415T15,1998-09-30,72487.0830859,73424
Kp980415T16,1998-09-30,40409.6224403796,29904
Kp980415T17,1998-09-30,65302.5814866901,50012
Kp980415T18,1998-09-30,65454.4073902883,57222
Kp980415T19,1998-09-30,65503.267391791,77960
Kp980415T2,1998-09-30,68855.2119105683,55984
Kp980415T3,1998-09-30,69124.391758502,65839
Kp980415T4,1998-09-30,69152.8641501512,63585
Kp980415T5,1998-09-30,41121.5104634504,31464
Kp980415T6,1998-08-25,49430.7797615658,49824
Kp980415T7,1998-08-25,49456.8556967586,54256
Kp980415T8,1998-09-30,41260.2106303266,28662
Kp980415T9,1998-09-30,70303.0428380831,55917
KP990436T1,1999-08-24,29607.6583114773,44716
KP990436T10,1999-08-24,22148.2491058292,39370
KP990436T11,1999-08-24,29493.7322113297,37469
KP990436T12,1999-08-24,29499.5687745689,39988
KP990436T15,1999-08-24,29496.0033106896,37358
KP990436T16,1999-08-24,19458.4920202301,41716
KP990436T17,1999-08-24,29478.0768852902,40691
KP990436T2,1999-08-24,29609.4166079769,38951
KP990436T20,1999-08-24,25873.1264938344,44247
KP990436T5,1999-08-24,29608.4294014245,41815
KP990436T6,1999-08-24,17476.6538105684,37000
KP990436T7,1999-08-24,23802.7683444504,34444
KP990437T1,1999-10-06,40350.1115124584,59631
KP990437T10,1999-10-06,34966.2529904789,57542
KP990437T11,1999-10-06,38182.4923565701,46688
KP990437T12,1999-10-06,38192.8839443217,49501
KP990437T15,1999-10-06,38189.4857034046,44864
KP990437T16,1999-10-06,26357.3661147326,48150
KP990437T17,1999-10-06,38189.3487851517,58179
KP990437T2,1999-10-06,40373.2505779264,55049
KP990437T20,1999-10-06,33073.9476075914,56014
KP990437T5,1999-10-06,40371.0425670258,58634
KP990437T6,1999-10-06,24987.4507618277,55966
KP990437T7,1999-10-06,40272.2723444462,56524
KP999038T1,1999-10-11,38921.9209134425,59867
kp999039T1,1999-09-28,23039.2710896412,38939.4
kp999039T10,1999-09-28,44455.5561108908,47570.3
kp999039T11,1999-09-28,79362.7234716194,59063.9
kp999039T12,1999-09-28,79562.2944476959,60091.3
kp999039T2,1999-09-28,38748.5261453644,49636.4
kp999039T3,1999-09-28,38775.9430537456,64223.4
kp999039T4,1999-09-28,41831.8185599548,54229.6
kp999039T5,1999-09-28,74024.3416293163,63809.1
kp999039T6,1999-09-28,74241.4183288325,75186.8
kp999039T7,1999-09-28,22008.8000404767,42328.4
kp999039T8,1999-09-28,40348.7442840124,54873.7
kp999039T9,1999-09-28,79373.9087057964,57215.8
